Performance Statistics   2016-04-07 00:00:00 - 2016-04-07 00:02:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count
gestionactividades$Alumno.browse#init                    0,0           0           0         0,0           1
gestionactividades$Alumno.browse#inject                  3,0           3           3         0,0           1
gestionactividades$Alumno.browse#load                  623,0         623         623         0,0           1
gestionactividades$Alumno.browse#ready                   0,0           0           0         0,0           1
gestionactividades$Alumno.browse#uiPermissions           0,0           0           0         0,0           1
gestionactividades$Alumno.browse#xml                    17,0          17          17         0,0           1
gestionactividades$Alumno.browse@alumnoesDs            693,0         693         693         0,0           1
mainWindow#init                                         14,0          14          14         0,0           1
mainWindow#inject                                       27,0          27          27         0,0           1
mainWindow#load                                        849,0         849         849         0,0           1
mainWindow#ready                                         0,0           0           0         0,0           1
mainWindow#uiPermissions                                 0,0           0           0         0,0           1
mainWindow#xml                                         451,0         451         451         0,0           1

Performance Statistics   2016-04-07 00:02:00 - 2016-04-07 00:04:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count
gestionactividades$Actividad.browse#init                 0,0           0           0         0,0           1
gestionactividades$Actividad.browse#inject               0,0           0           0         0,0           1
gestionactividades$Actividad.browse#load                48,0          48          48         0,0           1
gestionactividades$Actividad.browse#ready                0,0           0           0         0,0           1
gestionactividades$Actividad.browse#uiPermissions         0,0           0           0         0,0           1
gestionactividades$Actividad.browse#xml                 17,0          17          17         0,0           1
gestionactividades$Actividad.browse@actividadsDs        27,0          27          27         0,0           1
gestionactividades$Actividad.edit#init                   0,0           0           0         0,0           1
gestionactividades$Actividad.edit#inject                 0,0           0           0         0,0           2
gestionactividades$Actividad.edit#load                  17,0          17          17         0,0           1
gestionactividades$Actividad.edit#ready                  0,0           0           0         0,0           1
gestionactividades$Actividad.edit#setItem                0,0           0           0         0,0           1
gestionactividades$Actividad.edit#uiPermissions          0,0           0           0         0,0           1
gestionactividades$Actividad.edit#xml                    6,0           6           6         0,0           1
gestionactividades$Actividad.edit.windowActions#load         0,0           0           0         0,0           1
gestionactividades$Alumno.edit#init                      0,0           0           0         0,0           1
gestionactividades$Alumno.edit#inject                    0,0           0           0         0,0           2
gestionactividades$Alumno.edit#load                     96,0          96          96         0,0           1
gestionactividades$Alumno.edit#ready                     0,0           0           0         0,0           1
gestionactividades$Alumno.edit#setItem                   3,0           3           3         0,0           1
gestionactividades$Alumno.edit#uiPermissions             0,0           0           0         0,0           1
gestionactividades$Alumno.edit#xml                      12,0          12          12         0,0           1
gestionactividades$Alumno.edit.windowActions#load         3,0           3           3         0,0           1
windowActions#xml                                        2,5           2           3         0,5           2

Performance Statistics   2016-04-07 00:04:00 - 2016-04-07 00:06:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count
gestionactividades$Factura.browse#init                   0,0           0           0         0,0           1
gestionactividades$Factura.browse#inject                 0,0           0           0         0,0           1
gestionactividades$Factura.browse#load                  68,0          68          68         0,0           1
gestionactividades$Factura.browse#ready                  0,0           0           0         0,0           1
gestionactividades$Factura.browse#uiPermissions          0,0           0           0         0,0           1
gestionactividades$Factura.browse#xml                   11,0          11          11         0,0           1
gestionactividades$Factura.browse@facturasDs            20,0          20          20         0,0           1
gestionactividades$Factura.edit#init                     0,0           0           0         0,0           1
gestionactividades$Factura.edit#inject                   0,0           0           0         0,0           2
gestionactividades$Factura.edit#load                    23,0          23          23         0,0           1
gestionactividades$Factura.edit#ready                    0,0           0           0         0,0           1
gestionactividades$Factura.edit#setItem                  0,0           0           0         0,0           1
gestionactividades$Factura.edit#uiPermissions            0,0           0           0         0,0           1
gestionactividades$Factura.edit#xml                      5,0           5           5         0,0           1
gestionactividades$Factura.edit.windowActions#load         0,0           0           0         0,0           1
windowActions#xml                                        4,0           4           4         0,0           1

Performance Statistics   2016-04-07 00:06:00 - 2016-04-07 00:08:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count

Performance Statistics   2016-04-07 00:08:00 - 2016-04-07 00:10:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count

Performance Statistics   2016-04-07 00:10:00 - 2016-04-07 00:12:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count

Performance Statistics   2016-04-07 00:16:00 - 2016-04-07 00:18:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count
gestionactividades$Actividad.browse#init                 0,0           0           0         0,0           1
gestionactividades$Actividad.browse#inject               3,0           3           3         0,0           1
gestionactividades$Actividad.browse#load              1728,0        1728        1728         0,0           1
gestionactividades$Actividad.browse#ready                0,0           0           0         0,0           1
gestionactividades$Actividad.browse#uiPermissions         0,0           0           0         0,0           1
gestionactividades$Actividad.browse#xml                 25,0          25          25         0,0           1
gestionactividades$Actividad.browse@actividadsDs       804,0         804         804         0,0           1
gestionactividades$Actividad.edit#init                   0,0           0           0         0,0           1
gestionactividades$Actividad.edit#inject                 0,5           0           1         0,5           2
gestionactividades$Actividad.edit#load                 327,0         327         327         0,0           1
gestionactividades$Actividad.edit#ready                  0,0           0           0         0,0           1
gestionactividades$Actividad.edit#setItem                7,0           7           7         0,0           1
gestionactividades$Actividad.edit#uiPermissions          0,0           0           0         0,0           1
gestionactividades$Actividad.edit#xml                    9,0           9           9         0,0           1
gestionactividades$Actividad.edit.windowActions#load         4,0           4           4         0,0           1
mainWindow#init                                         55,0          55          55         0,0           1
mainWindow#inject                                       13,0          13          13         0,0           1
mainWindow#load                                       2334,0        2334        2334         0,0           1
mainWindow#ready                                         0,0           0           0         0,0           1
mainWindow#uiPermissions                                 0,0           0           0         0,0           1
mainWindow#xml                                        1797,0        1797        1797         0,0           1
windowActions#xml                                        3,0           3           3         0,0           1

Performance Statistics   2016-04-07 00:18:00 - 2016-04-07 00:20:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count
gestionactividades$Actividad.edit#init                   0,0           0           0         0,0           1
gestionactividades$Actividad.edit#inject                 0,0           0           0         0,0           2
gestionactividades$Actividad.edit#load                2301,0        2301        2301         0,0           1
gestionactividades$Actividad.edit#ready                  0,0           0           0         0,0           1
gestionactividades$Actividad.edit#setItem                0,0           0           0         0,0           1
gestionactividades$Actividad.edit#uiPermissions          0,0           0           0         0,0           1
gestionactividades$Actividad.edit#xml                    4,0           4           4         0,0           1
gestionactividades$Actividad.edit.windowActions#load         0,0           0           0         0,0           1
gestionactividades$Direccion.browse#init                 0,0           0           0         0,0           1
gestionactividades$Direccion.browse#inject               0,0           0           0         0,0           1
gestionactividades$Direccion.browse#load                63,0          63          63         0,0           1
gestionactividades$Direccion.browse#ready                0,0           0           0         0,0           1
gestionactividades$Direccion.browse#uiPermissions         0,0           0           0         0,0           1
gestionactividades$Direccion.browse#xml                  4,0           4           4         0,0           1
gestionactividades$Direccion.browse@direccionsDs        11,0          11          11         0,0           1
gestionactividades$Direccion.edit#init                   0,0           0           0         0,0           2
gestionactividades$Direccion.edit#inject                 0,0           0           0         0,0           4
gestionactividades$Direccion.edit#load                 241,0          18         464       223,0           2
gestionactividades$Direccion.edit#ready                  0,0           0           0         0,0           2
gestionactividades$Direccion.edit#setItem                0,0           0           0         0,0           2
gestionactividades$Direccion.edit#uiPermissions          0,0           0           0         0,0           2
gestionactividades$Direccion.edit#xml                    5,0           5           5         0,0           2
gestionactividades$Direccion.edit.windowActions#load         0,0           0           0         0,0           2
gestionactividades$Localidad.browse#init                 0,0           0           0         0,0           1
gestionactividades$Localidad.browse#inject               0,0           0           0         0,0           1
gestionactividades$Localidad.browse#load                68,0          68          68         0,0           1
gestionactividades$Localidad.browse#ready                0,0           0           0         0,0           1
gestionactividades$Localidad.browse#uiPermissions         0,0           0           0         0,0           1
gestionactividades$Localidad.browse#xml                  4,0           4           4         0,0           1
gestionactividades$Localidad.browse@localidadsDs        18,0          18          18         0,0           1
gestionactividades$Localidad.edit#init                   0,0           0           0         0,0           1
gestionactividades$Localidad.edit#inject                 0,0           0           0         0,0           2
gestionactividades$Localidad.edit#load                  30,0          30          30         0,0           1
gestionactividades$Localidad.edit#ready                  0,0           0           0         0,0           1
gestionactividades$Localidad.edit#setItem                0,0           0           0         0,0           1
gestionactividades$Localidad.edit#uiPermissions          0,0           0           0         0,0           1
gestionactividades$Localidad.edit#xml                    4,0           4           4         0,0           1
gestionactividades$Localidad.edit.windowActions#load         0,0           0           0         0,0           1
windowActions#xml                                        3,5           2           5         1,5           4

Performance Statistics   2016-04-07 00:20:00 - 2016-04-07 00:22:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count
gestionactividades$Alumno.browse#init                    0,0           0           0         0,0           1
gestionactividades$Alumno.browse#inject                  0,0           0           0         0,0           1
gestionactividades$Alumno.browse#load                   39,0          39          39         0,0           1
gestionactividades$Alumno.browse#ready                   0,0           0           0         0,0           1
gestionactividades$Alumno.browse#uiPermissions           0,0           0           0         0,0           1
gestionactividades$Alumno.browse#xml                    12,0          12          12         0,0           1
gestionactividades$Alumno.browse@alumnoesDs             43,0          43          43         0,0           1
gestionactividades$Direccion.browse#init                 0,0           0           0         0,0           1
gestionactividades$Direccion.browse#inject               0,0           0           0         0,0           1
gestionactividades$Direccion.browse#load               371,0         371         371         0,0           1
gestionactividades$Direccion.browse#ready                0,0           0           0         0,0           1
gestionactividades$Direccion.browse#uiPermissions         0,0           0           0         0,0           1
gestionactividades$Direccion.browse#xml                 13,0          13          13         0,0           1
gestionactividades$Direccion.browse@direccionsDs        25,0          25          25         0,0           1
gestionactividades$Factura.browse#init                   0,0           0           0         0,0           1
gestionactividades$Factura.browse#inject                 0,0           0           0         0,0           1
gestionactividades$Factura.browse#load                  35,0          35          35         0,0           1
gestionactividades$Factura.browse#ready                  0,0           0           0         0,0           1
gestionactividades$Factura.browse#uiPermissions          0,0           0           0         0,0           1
gestionactividades$Factura.browse#xml                   16,0          16          16         0,0           1
gestionactividades$Factura.browse@facturasDs            20,0          20          20         0,0           1
gestionactividades$Responsable.browse#init               0,0           0           0         0,0           1
gestionactividades$Responsable.browse#inject             0,0           0           0         0,0           1
gestionactividades$Responsable.browse#load              41,0          41          41         0,0           1
gestionactividades$Responsable.browse#ready              0,0           0           0         0,0           1
gestionactividades$Responsable.browse#uiPermissions         0,0           0           0         0,0           1
gestionactividades$Responsable.browse#xml               12,0          12          12         0,0           1
gestionactividades$Responsable.browse@responsablesDs        13,0          13          13         0,0           1
gestionactividades$Responsable.edit#init                 0,0           0           0         0,0           1
gestionactividades$Responsable.edit#inject               0,0           0           0         0,0           2
gestionactividades$Responsable.edit#load                86,0          86          86         0,0           1
gestionactividades$Responsable.edit#ready                0,0           0           0         0,0           1
gestionactividades$Responsable.edit#setItem              0,0           0           0         0,0           1
gestionactividades$Responsable.edit#uiPermissions         0,0           0           0         0,0           1
gestionactividades$Responsable.edit#xml                  6,0           6           6         0,0           1
gestionactividades$Responsable.edit.windowActions#load         0,0           0           0         0,0           1
windowActions#xml                                        2,0           2           2         0,0           1

Performance Statistics   2016-04-07 00:22:00 - 2016-04-07 00:24:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count
gestionactividades$Alumno.edit#init                      0,0           0           0         0,0           1
gestionactividades$Alumno.edit#inject                    0,0           0           0         0,0           2
gestionactividades$Alumno.edit#load                     19,0          19          19         0,0           1
gestionactividades$Alumno.edit#ready                     0,0           0           0         0,0           1
gestionactividades$Alumno.edit#setItem                  34,0          34          34         0,0           1
gestionactividades$Alumno.edit#uiPermissions             0,0           0           0         0,0           1
gestionactividades$Alumno.edit#xml                       4,0           4           4         0,0           1
gestionactividades$Alumno.edit.windowActions#load         0,0           0           0         0,0           1
gestionactividades$Responsable.edit#init                 0,0           0           0         0,0           1
gestionactividades$Responsable.edit#inject               0,0           0           0         0,0           2
gestionactividades$Responsable.edit#load                20,0          20          20         0,0           1
gestionactividades$Responsable.edit#ready                0,0           0           0         0,0           1
gestionactividades$Responsable.edit#setItem             40,0          40          40         0,0           1
gestionactividades$Responsable.edit#uiPermissions         0,0           0           0         0,0           1
gestionactividades$Responsable.edit#xml                  5,0           5           5         0,0           1
gestionactividades$Responsable.edit.windowActions#load         0,0           0           0         0,0           1
windowActions#xml                                        2,5           2           3         0,5           2

Performance Statistics   2016-04-07 00:28:00 - 2016-04-07 00:30:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count
gestionactividades$Alumno.browse#init                    0,0           0           0         0,0           1
gestionactividades$Alumno.browse#inject                  6,0           6           6         0,0           1
gestionactividades$Alumno.browse#load                 1970,0        1970        1970         0,0           1
gestionactividades$Alumno.browse#ready                   0,0           0           0         0,0           1
gestionactividades$Alumno.browse#uiPermissions           0,0           0           0         0,0           1
gestionactividades$Alumno.browse#xml                    14,0          14          14         0,0           1
gestionactividades$Alumno.browse@alumnoesDs            860,0         860         860         0,0           1
gestionactividades$Alumno.edit#init                      0,0           0           0         0,0           1
gestionactividades$Alumno.edit#inject                    0,0           0           0         0,0           2
gestionactividades$Alumno.edit#load                    155,0         155         155         0,0           1
gestionactividades$Alumno.edit#ready                     0,0           0           0         0,0           1
gestionactividades$Alumno.edit#setItem                   3,0           3           3         0,0           1
gestionactividades$Alumno.edit#uiPermissions             0,0           0           0         0,0           1
gestionactividades$Alumno.edit#xml                       4,0           4           4         0,0           1
gestionactividades$Alumno.edit.windowActions#load         3,0           3           3         0,0           1
mainWindow#init                                         17,0          17          17         0,0           1
mainWindow#inject                                       20,0          20          20         0,0           1
mainWindow#load                                        610,0         610         610         0,0           1
mainWindow#ready                                         0,0           0           0         0,0           1
mainWindow#uiPermissions                                 0,0           0           0         0,0           1
mainWindow#xml                                         343,0         343         343         0,0           1
windowActions#xml                                        2,0           2           2         0,0           1

Performance Statistics   2016-04-07 00:30:00 - 2016-04-07 00:32:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count
gestionactividades$Direccion.browse#init                 0,0           0           0         0,0           1
gestionactividades$Direccion.browse#inject               0,0           0           0         0,0           1
gestionactividades$Direccion.browse#load                81,0          81          81         0,0           1
gestionactividades$Direccion.browse#ready                0,0           0           0         0,0           1
gestionactividades$Direccion.browse#uiPermissions         0,0           0           0         0,0           1
gestionactividades$Direccion.browse#xml                 14,0          14          14         0,0           1
gestionactividades$Direccion.browse@direccionsDs        47,0          47          47         0,0           1
gestionactividades$Direccion.edit#init                   0,0           0           0         0,0           1
gestionactividades$Direccion.edit#inject                 0,0           0           0         0,0           2
gestionactividades$Direccion.edit#load                  20,0          20          20         0,0           1
gestionactividades$Direccion.edit#ready                  0,0           0           0         0,0           1
gestionactividades$Direccion.edit#setItem                0,0           0           0         0,0           1
gestionactividades$Direccion.edit#uiPermissions          0,0           0           0         0,0           1
gestionactividades$Direccion.edit#xml                    7,0           7           7         0,0           1
gestionactividades$Direccion.edit.windowActions#load         0,0           0           0         0,0           1
gestionactividades$Localidad.browse#init                 0,0           0           0         0,0           1
gestionactividades$Localidad.browse#inject               0,0           0           0         0,0           1
gestionactividades$Localidad.browse#load                55,0          55          55         0,0           1
gestionactividades$Localidad.browse#ready                0,0           0           0         0,0           1
gestionactividades$Localidad.browse#uiPermissions         0,0           0           0         0,0           1
gestionactividades$Localidad.browse#xml                  6,0           6           6         0,0           1
gestionactividades$Localidad.browse@localidadsDs        23,0          23          23         0,0           1
gestionactividades$Localidad.edit#init                   0,0           0           0         0,0           1
gestionactividades$Localidad.edit#inject                 0,0           0           0         0,0           2
gestionactividades$Localidad.edit#load                  19,0          19          19         0,0           1
gestionactividades$Localidad.edit#ready                  0,0           0           0         0,0           1
gestionactividades$Localidad.edit#setItem                0,0           0           0         0,0           1
gestionactividades$Localidad.edit#uiPermissions          0,0           0           0         0,0           1
gestionactividades$Localidad.edit#xml                    3,0           3           3         0,0           1
gestionactividades$Localidad.edit.windowActions#load         0,0           0           0         0,0           1
gestionactividades$Responsable.browse#init               0,0           0           0         0,0           1
gestionactividades$Responsable.browse#inject             0,0           0           0         0,0           1
gestionactividades$Responsable.browse#load              21,0          21          21         0,0           1
gestionactividades$Responsable.browse#ready              0,0           0           0         0,0           1
gestionactividades$Responsable.browse#uiPermissions         0,0           0           0         0,0           1
gestionactividades$Responsable.browse#xml                5,0           5           5         0,0           1
gestionactividades$Responsable.browse@responsablesDs        20,0          20          20         0,0           1
gestionactividades$Responsable.edit#init                 0,0           0           0         0,0           1
gestionactividades$Responsable.edit#inject               0,0           0           0         0,0           2
gestionactividades$Responsable.edit#load                46,0          46          46         0,0           1
gestionactividades$Responsable.edit#ready                0,0           0           0         0,0           1
gestionactividades$Responsable.edit#setItem              0,0           0           0         0,0           1
gestionactividades$Responsable.edit#uiPermissions         0,0           0           0         0,0           1
gestionactividades$Responsable.edit#xml                  3,0           3           3         0,0           1
gestionactividades$Responsable.edit.windowActions#load         0,0           0           0         0,0           1
windowActions#xml                                        2,0           2           2         0,0           3

Performance Statistics   2016-04-07 00:32:00 - 2016-04-07 00:34:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count
gestionactividades$Alumno.browse#init                    0,0           0           0         0,0           1
gestionactividades$Alumno.browse#inject                  0,0           0           0         0,0           1
gestionactividades$Alumno.browse#load                   34,0          34          34         0,0           1
gestionactividades$Alumno.browse#ready                   0,0           0           0         0,0           1
gestionactividades$Alumno.browse#uiPermissions           0,0           0           0         0,0           1
gestionactividades$Alumno.browse#xml                     7,0           7           7         0,0           1
gestionactividades$Alumno.browse@alumnoesDs             45,0          45          45         0,0           1
gestionactividades$Factura.browse#init                   0,0           0           0         0,0           1
gestionactividades$Factura.browse#inject                 0,0           0           0         0,0           1
gestionactividades$Factura.browse#load                  38,0          38          38         0,0           1
gestionactividades$Factura.browse#ready                  0,0           0           0         0,0           1
gestionactividades$Factura.browse#uiPermissions          0,0           0           0         0,0           1
gestionactividades$Factura.browse#xml                   11,0          11          11         0,0           1
gestionactividades$Factura.browse@facturasDs            24,0          24          24         0,0           1
gestionactividades$Factura.edit#init                     0,0           0           0         0,0           1
gestionactividades$Factura.edit#inject                   0,0           0           0         0,0           2
gestionactividades$Factura.edit#load                    28,0          28          28         0,0           1
gestionactividades$Factura.edit#ready                    0,0           0           0         0,0           1
gestionactividades$Factura.edit#setItem                  0,0           0           0         0,0           1
gestionactividades$Factura.edit#uiPermissions            0,0           0           0         0,0           1
gestionactividades$Factura.edit#xml                      6,0           6           6         0,0           1
gestionactividades$Factura.edit.windowActions#load         0,0           0           0         0,0           1
